height	timestamp	diff	change	bits	average_time(seconds)	average_hashrate
510048	1519114859	3.01E+12	4.62	0x175d97dc	574	2.15E+19
512064	1520223678	3.29E+12	9.42	0x175589a3	550	2.35E+19
514080	1521373218	3.46E+12	5.23	0x17514a49	570	2.48E+19
516096	1522566357	3.51E+12	1.4	0x17502ab7	592	2.51E+19
518112	1523672932	3.84E+12	9.35	0x1749500d	549	2.75E+19
520128	1524828253	4.02E+12	4.76	0x1745fb53	573	2.88E+19
522144	1526003655	4.14E+12	3.03	0x1743eca9	583	2.96E+19
524160	1527168053	4.31E+12	3.94	0x17415a49	578	3.08E+19
526176	1528222686	4.94E+12	14.71	0x1738f841	523	3.54E+19
528192	1529400045	5.08E+12	2.77	0x17376f56	584	3.63E+19
530208	1530545661	5.36E+12	5.64	0x17347a28	568	3.84E+19
532224	1531799449	5.18E+12	-3.45	0x17365a17	622	3.70E+19
534240	1532852371	5.95E+12	14.88	0x172f4f7b	522	4.26E+19
536256	1533980459	6.39E+12	7.39	0x172c0da7	560	4.57E+19
538272	1535129431	6.73E+12	5.29	0x1729d72d	570	4.81E+19
540288	1536290079	7.02E+12	4.34	0x172819a1	576	5.02E+19
542304	1537478139	7.15E+12	1.9	0x17275a1f	589	5.12E+19
544320	1538639362	7.45E+12	4.23	0x1725c191	576	5.33E+19
546336	1539895067	7.18E+12	-3.65	0x17272fbd	623	5.14E+19
548352	1541105656	7.18E+12	0.02	0x17272d92	600	5.14E+19
550368	1542412284	6.65E+12	-7.39	0x172a4e2f	648	4.76E+19
552384	1543838368	5.65E+12	-15.13	0x1731d97c	707	4.04E+19
554400	1545175965	5.11E+12	-9.56	0x17371ef4	663	3.66E+19
556416	1546276809	5.62E+12	10.03	0x173218a5	546	4.02E+19
558432	1547432394	5.88E+12	4.72	0x172fd633	573	4.21E+19
560448	1548657313	5.81E+12	-1.18	0x17306835	608	4.16E+19
562464	1549817981	6.06E+12	4.25	0x172e6f88	576	4.34E+19
564480	1551026038	6.07E+12	0.17	0x172e5b50	599	4.34E+19
566496	1552236304	6.07E+12	-0.05	0x172e6117	600	4.34E+19
