height,timestamp,diff,change,bits,average_time(seconds),average_hashrate
391104,1451558562,103880340815,11.16,0x180a9591,540,742825456617171654
393120,1452667178,113354299801,9.12,0x1809b31b,550,811339486043392947
395136,1453810745,120033340651,5.89,0x180928f0,567,858275614092264821
397152,1454818360,144116447847,20.06,0x1807a114,500,1031472510246230412
399168,1455885256,163491654908,13.44,0x1806b99f,529,1169612096701277441
401184,1457133956,158427203767,-3.10,0x1806f0a8,619,1133673166471959817
403200,1458292068,165496835118,4.46,0x1806a4c3,574,1184485051960088399
405216,1459492475,166851513282,0.82,0x180696f4,595,1193744992121340204
407232,1460622341,178678307671,7.09,0x1806274b,560,1278655640893652915
409248,1461832110,178659257772,-0.01,0x18062776,600,1278850471214229319
411264,1462944866,194254820283,8.73,0x1805a8fa,552,1390195792451248638
413280,1464123766,199312067531,2.60,0x18058436,585,1426741275778249562
415296,1465353718,196061423939,-1.63,0x18059ba0,610,1403123247472647345
417312,1466486338,209453158595,6.83,0x18053fd6,562,1498850493644466936
419328,1467674161,213398925331,1.88,0x180526fd,589,1526812028288897789
421344,1468884162,213492501107,0.04,0x18052669,600,1527062765304452645
423360,1470163842,201893210853,-5.43,0x18057228,635,1444546850270966596
425376,1471287554,217375482757,7.67,0x18050edc,557,1555668598005986946
427392,1472479861,220755908330,1.56,0x1804fb08,591,1578602749306470783
429408,1473662347,225832872179,2.30,0x1804de5e,587,1616466532254137414
431424,1474795015,241227200229,6.82,0x18048ed4,562,1726374116287416408
433440,1475924010,258522748404,7.17,0x180440c4,560,1850055030139747829
435456,1477159378,253618246641,-1.90,0x180455d2,613,1811977521944155790
437472,1478364418,254620187304,0.40,0x18045174,598,1822340057743962868
439488,1479457815,281800917193,10.68,0x1803e6d4,542,2016347329270248601
441504,1480646786,286765766820,1.76,0x1803d589,590,2052208723532118164
443520,1481765313,310153855703,8.16,0x18038b85,555,2219888812384673797
445536,1482946855,317688400354,2.43,0x180375ff,586,2272889956190249003
447552,1484088052,336899932795,6.05,0x18034379,566,2410411138756405250
449568,1485125572,392963262344,16.64,0x1802cc47,515,2811608425719322722
451584,1486251529,422170566883,7.43,0x18029ab9,559,3021903101413861964
453600,1487410706,440779902286,4.41,0x18027e93,575,3153469139434332778
455616,1488567886,460769358090,4.54,0x180262df,574,3298156461696305162
457632,1489739775,475705205061,3.24,0x18024fb1,581,3404454241975864145
459648,1490891948,499635929816,5.03,0x1802335a,572,3574955158053799966
461664,1492052390,520808749422,4.24,0x18021c73,576,3728040416141438293
463680,1493259601,521974519553,0.22,0x18021b3e,599,3735471924308267724
465696,1494387648,559970892890,7.28,0x1801f6a7,560,4006567809234989533
467712,1495524592,595921917085,6.42,0x1801d854,564,4264584931268144564
469728,1496586907,678760110082,13.90,0x18019eaf,527,4857205002298746118
471744,1497741533,711697198173,4.85,0x18018b7e,573,5090088902256838625
473760,1498956437,708659466230,-0.43,0x18018d30,603,5072285415694291693
475776,1500021942,804525194568,13.53,0x18015ddc,529,5758806547712747937
477792,1501153434,860221984436,6.92,0x18014735,561,6156566152784849778
479808,1502282210,923233068448,7.32,0x180130e0,560,6598620616980629873
481824,1503539857,888171856257,-3.80,0x18013ce9,624,6356279436526224914
483840,1504704195,922724699725,3.89,0x1801310b,578,6604931606557957216
485856,1505716276,1103400932964,19.58,0x1800ff18,502,7894184334650166449
487872,1506904066,1123863285132,1.85,0x1800fa73,589,8043481573052338363
489888,1508040302,1196792694098,6.49,0x1800eb30,564,8564368147560189163
491904,1509036762,1452839779145,21.39,0x1800c1bd,494,10399427904968756110
493920,1510326831,1364422081125,-6.09,0x1800ce4b,640,9751135067128475987
495936,1511553196,1347001430558,-1.28,0x1800d0f6,608,9633395281344642025
497952,1512577401,1590896927258,18.11,0x1800b0ed,508,11387582971469812452
499968,1513605320,1873105475221,17.74,0x18009645,510,13400886793747446952
501984,1514778970,1931136454487,3.10,0x180091c1,582,13818917346904094473
504000,1515827554,2227847638503,15.36,0x177e578c,520,15946307133170328589
506016,1516862900,2603077300218,16.84,0x176c2146,514,18631609162200742787
508032,1517958487,2874674234415,10.43,0x1761e9f8,543,20572666394149353615
510048,1519114859,3007383866429,4.62,0x175d97dc,574,21524915646615436543
512064,1520223678,3290605988755,9.42,0x175589a3,550,23484352767499893137
514080,1521373218,3462542391191,5.23,0x17514a49,570,24785756853298301070
516096,1522566357,3511060552899,1.40,0x17502ab7,592,25127798826169315322
518112,1523672932,3839316899029,9.35,0x1749500d,549,27473111846858456146
520128,1524828253,4022059196164,4.76,0x1745fb53,573,28774095588104373881
522144,1526003655,4143878474754,3.03,0x1743eca9,583,29628688077408804956
524160,1527168053,4306949573981,3.94,0x17415a49,578,30814558437730270883
526176,1528222686,4940704885521,14.71,0x1738f841,523,35360534377922336482
528192,1529400045,5077499034879,2.77,0x17376f56,584,36335437584832017885
530208,1530545661,5363678461481,5.64,0x17347a28,568,38376129241698934483
532224,1531799449,5178671069072,-3.45,0x17365a17,622,37041538389180714205
534240,1532852371,5949437371609,14.88,0x172f4f7b,522,42586555626025179160
536256,1533980459,6389316883511,7.39,0x172c0da7,560,45664983675362455287
538272,1535129431,6727225469722,5.29,0x1729d72d,570,48149898021758702125
540288,1536290079,7019199231177,4.34,0x172819a1,576,50186377079625212876
542304,1537478139,7152633351906,1.90,0x17275a1f,589,51156354041293650246
544320,1538639362,7454968648263,4.23,0x1725c191,576,53333578369234591978
546336,1539895067,7182852313938,-3.65,0x17272fbd,623,51405381533546289143
548352,1541105656,7184404942701,0.02,0x17272d92,600,51374854234764280943
550368,1542412284,6653303141405,-7.39,0x172a4e2f,648,47609018855072019423
552384,1543838368,5646403851534,-15.13,0x1731d97c,707,40396393421327504969
554400,1545175965,5106422924659,-9.56,0x17371ef4,663,36550812900157140285
556416,1546276809,5618595848853,10.03,0x173218a5,546,40164409883040135691
558432,1547432394,5883988430955,4.72,0x172fd633,573,42099436914856309253
560448,1548657313,5814661935891,-1.18,0x17306835,608,41592481109431777415
562464,1549817981,6061518831027,4.25,0x172e6f88,576,43377732675947776228
564480,1551026038,6071846049920,0.17,0x172e5b50,599,43445462166927401627
566496,1552236304,6068891541676,-0.05,0x172e6117,600,43440049133726319476
568512,1553387093,6379265451411,5.11,0x172c1f6c,571,45662960316835139293
570528,1554594223,6393023717201,0.22,0x172c071d,599,45757998522451476528
572544,1555811668,6353030562983,-0.63,0x172c4e11,604,45468157346301628147
574560,1556958733,6702169884349,5.50,0x1729ff38,569,47956039050077296107
576576,1558168296,6704632680587,0.04,0x1729fb45,600,47977468340614218041
578592,1559256184,7459680720542,11.26,0x1725bb76,540,53363117378944323157
580608,1560474230,7409399249090,-0.67,0x1725fd03,604,53028206506480448583
582624,1561604370,7934713219630,7.09,0x1723792c,561,56767679185784585666
584640,1562663868,9064159826491,14.23,0x171f0d9b,526,64845744780455107876
586656,1563880937,9013786945891,-0.56,0x171f3a08,604,64485599716466110752
588672,1564973528,9985348008059,10.78,0x171c3039,542,71433192305042371964
590688,1566161382,10183488432890,1.98,0x171ba3d1,589,72786448635711942097
592704,1567305301,10771996663680,5.78,0x171a213e,567,77081772007781137460
594720,1568401591,11890594958795,10.38,0x1717abf5,544,85078759033087458058
