1jLVpwtNMfXWaHY4eiLDmGuBxokYLgv1X,68,908
1s2iywx94HudryMHsU2g1K9x8DB1cahGc,2,24
1s2mUUUUGHzBsEy9p8CEUW82impM3fnav,10,163
32LA7cmsj35LH7cK1MjvwyoLEmYpuWAD9k,9,34
336hiLtcyFzdpQfVz5tAQSLUkvKmzwoTvs,71,853
33SpuCiPcawssgsqYD7Yg4PHH1Y1DcsQE3,1,12
347a2vGV9r4RyrKoBiVnCLnBN4rDYDWUyy,3,36
354tyvAzXQejnYvnK51CCQpjsn53SVSEWn,1,12
35BkXKj7JU5n1k3zZMiJsgx2Jg3n38g1kh,1,12
35C7SCZn5Ym5UEUepZUuVWjksrXZSGZhhE,2,24
35qGBQsRQb8CSUzcSWktMykeA6zm5iCEJJ,187,2248
36JMs8rogpizjkkp6eeKMmm3SLbSNo5H9V,44,340
36n452uGq1x4mK7bfyZR8wgE47AnBb2pzi,913,10996
38GcXaKUsQqHq4dK3qUagzVzQ69As34RwF,11,133
39UKsPBH6BFzak3vC9K5XNL5dgc9NnY1zQ,3,37
39pLhpmYEhYaz6MrxvBVndTEK1x45MAsdN,145,1745
3ACjzvyr3PdPCnAcAi2Nfw9RXcm9SVmtR9,8,96
3Cy7rpWHSzEJ42XRjUkACUdWE3KHiu3puP,19,69
3DXfeMBimuvN3TWnQXDhr47P8M8yxMy9Pd,178,2150
3EqT5PqCxCdupWEpQ6TNMWTZSVbuLxua6j,304,3655
3ErUqs4Kxmdrw8CyHwiXMwRc6mUoHhTpsk,1,15
3F11i37vuA8xAbx9YVPRwZ8hFpweowifmF,56,679
3F1DLHQt1igi6FRJLhv6JZWcW4XqVKrzUp,3,36
3GvEGtnvgeBJ3p3EpdZhvUkxY4pDARkbjd,47,567
3JAvzKWgtxPzcbTqKeAT7qfwoZBjtVmkBU,95,1142
3JJfSJGBpTnaibi58ZPKxSL5xozQqLVSRA,130,1576
3JQSigWTCHyBLRD979JWgEtWP5YiiFwcQB,261,3143
3KF9nXowQ4asSGxRRzeiTpDjMuwM2nypAN,66,793
3KJrsjfg1dD6CrsTeHdHVH3KqMpvL2XWQn,243,2923
3KWcQ4Xe5Dc3R1UMWatf1knJY6Zu61MZKV,55,668
3MbcFnPVegNX9iwQ9614ATm8WrYJQuNJQX,1,12
3N2JE5b9AbjkVcw11xwYNm6XnGMTfqU8Rc,2,24
bc1qjl8uwezzlech723lpnyuza0h2cdkvxvh54v3dn,3788,45623
